VideoID,RegionCode,TrendingDate,Views,Likes,CommentCount,Dislikes
2kyS6SvSYSE,US,17.14.11,748374,57527,15954,2966
1ZAPwfrtAFY,US,17.14.11,2418783,97185,12703,6146
5qpjK5DgCt4,US,17.14.11,3191434,146033,8181,5339
puqaWrEC7tY,US,17.14.11,343168,10172,2146,666
d380meD0W0M,US,17.14.11,2095731,132235,17518,1989
gHZ1Qz0KiKM,US,17.14.11,119180,9763,1434,511
39idVpFF7NQ,US,17.14.11,2103417,15993,1970,2445
nc99ccSXST0,US,17.14.11,817732,23663,3432,778
jr9QtXwC9vc,US,17.14.11,826059,3543,340,119
TUmyygCMMGA,US,17.14.11,256426,12654,2368,1363
9wRQljFNDW8,US,17.14.11,81377,655,177,25
VifQlJit6A0,US,17.14.11,104578,1576,1279,303
5E4ZBSInqUU,US,17.14.11,687582,114188,8371,1333
GgVmn66oK_A,US,17.14.11,544770,7848,3981,1171
TaTleo4cOs8,US,17.14.11,207532,7473,2120,246
kgaO45SyaO4,US,17.14.11,75752,9419,1230,52
ZAQs-ctOqXQ,US,17.14.11,295639,8011,1256,638
YVfyYrEmzgM,US,17.14.11,78044,5398,385,53
eNSN6qet1kE,US,17.14.11,97007,11963,2211,36
B5HORANmzHw,US,17.14.11,223871,8421,1214,191
vU14JY3x81A,US,17.14.11,115791,9586,2800,75
6VhU_T463sU,US,17.14.11,224019,3585,208,138
_-aDHxoblr4,US,17.14.11,144418,11758,1014,89
JBZTZZAcFTw,US,17.14.11,145921,1707,673,578
lZ68j2J_GOM,US,17.14.11,33980,4884,234,52
dRpNZV18N_g,US,17.14.11,223077,8676,1392,193
fcVjitaM3LY,US,17.14.11,80705,4687,437,41
qeWvgZLz9yU,US,17.14.11,120727,9033,1346,224
iIxy3JN3-jc,US,17.14.11,27943,156,83,36
n30k5CwLhS4,US,17.14.11,50867,715,246,238
U0hAC8O7RoI,US,17.14.11,98378,4035,486,495
CBVGjS_EJok,US,17.14.11,26000,119,0,69
n1WpP7iowLc,US,17.14.11,17158531,787419,125882,43420
hz7ukDjuq4w,US,17.14.11,67661,3781,626,84
p2hJxyF7mok,US,17.14.11,141148,1661,236,70
0mlNzVSJrT0,US,17.14.11,98966,2486,532,184
Om_zGhJLZ5U,US,17.14.11,288922,7515,2111,792
e_7zHm7GsYc,US,17.14.11,13917,1318,76,24
dQvIbulWCM4,US,17.14.11,605932,38397,3412,1387
zZ9FciUx6gs,US,17.14.11,57169,6927,565,161
PaJCFHXcWmM,US,17.14.11,60506,5389,455,106
goP4Z5wyOlM,US,17.14.11,34785,308,413,26
NZFhMSgbKKM,US,17.14.11,945,7,8,5
0tO_l_Ed5Rs,US,17.14.11,328330,15186,7484,15448
STI2fI7sKMo,US,17.14.11,321053,4451,895,1772
BWPrk9PUwQE,US,17.14.11,1456472,33505,2160,1660
ogYum4kWXgk,US,17.14.11,69844,3417,160,33
sbcbvuitiTc,US,17.14.11,956169,2017,1447,2425
zNqCVTs38nU,US,17.14.11,4569,35,19,18
DM-ni_LSOFE,US,17.14.11,2045386,45406,8309,2842
0PpNlNJ6Nng,US,17.14.11,1842393,99086,11800,1339
c-3JxzN2u34,US,17.14.11,6473,205,15,6
069D0NmW39o,US,17.14.11,1044813,15397,1100,838
9t9u_yPEidY,US,17.14.11,9548677,190083,11473,15015
KODzih-pYlU,US,17.14.11,197062,7250,456,217
8NHA23f7LvU,US,17.14.11,1496225,16116,605,236
w0XYVssCKjw,US,17.14.11,162597,5734,525,106
9XSULcLI6Hg,US,17.14.11,9132,21,64,8
pjuPpVLXDQg,US,17.14.11,7265,89,22,8
9xSx-5tmq44,US,17.14.11,291597,8209,1062,344
4v0nOAzcG2A,US,17.14.11,290801,10237,1016,377
oTObwUiXdYY,US,17.14.11,5304,52,68,13
1cgK-BIrXes,US,17.14.11,812516,26917,4998,1979
ujyTQNNjjDU,US,17.14.11,2642930,115795,6410,3055
PABlVzeldaM,US,17.14.11,105058,493,347,54
6340tX9M_eM,US,17.14.11,537715,8231,970,413
8mhTWqWlQzU,US,17.14.11,2744430,115426,6541,1110
t4YAyT4ihIQ,US,17.14.11,3358068,120876,6408,8279
MNiweoKXwfg,US,17.14.11,4732,203,33,6
Jw1Y-zhQURU,US,17.14.11,7224515,55681,9479,10247
2Vv-BfVoq4g,US,17.14.11,33523622,1634124,85067,21082
UFYCTJlayS4,US,17.14.11,52591,2233,255,187
cccyOn99s4Y,US,17.14.11,75822,2978,243,147
abGCYPCk294,US,17.14.11,43715,1550,1031,109
lY_0mkYDZDU,US,17.14.11,303956,18603,1745,585
k8NxqyGcZA4,US,17.14.11,238643,2429,2325,5381
IE-xepGLVt8,US,17.14.11,237307,1896,260,74
ObIQ0s02UHg,US,17.14.11,1282413,37669,1691,1732
